Ministerio;Cantidad
Educación;9
Desarrollo Social y Familia;8
Salud;7
Bienes Nacionales;6
Trabajo y Bienestar Social;5
Trabajo;4
Vivienda y Urbanismo;4
Medio Ambiente;4
Deporte;4
Mujer y la Igualdad de Género;4
Justicia;3
Asuntos Exteriores;3
Minería;3
Bienes nacionales;3
Agricultura;3
Secretaria General de Gobierno;3
Secretaría General de la Presidencia;3
Mujer;3
Ciencia;3
Defensa Nacional;2
Defensa;2
Secretaría General del Gobierno;2
Obras Públicas;2
Justicia y Derechos Humanos;2
Transportes y Telecomunicaciones;2
Energía;2
Culturas, Artes y Patrimonio;2
Secretaría General de Gobierno;2
Interior;2
Cultura;2
Desarrollo social;2
Desarrollo Social;1
Secretaria General de la Presidencia;1
Economía;1
Secretaría General de gobierno;1
Ministerio de Justicia y Derechos Humanos;1
Secretaria General de gobierno;1
Deportes;1
Mineria;1
Secretaria general de la presidencia;1
Seguridad;1
