Año;Izquierda;Centro-Izquierda;Centro;Centro-Derecha;Derecha;Independiente;Total ministras
1952;0;1;0;0;0;0;1
1953;0;0;0;0;0;1;1
1972;0;1;0;0;0;0;1
1977;0;0;0;0;1;0;1
1983;0;0;0;0;1;0;1
1989;0;0;0;0;0;1;1
1994;0;0;1;0;0;1;2
2000;1;0;3;0;0;0;4
2002;1;0;0;0;1;0;2
2004;2;0;1;0;0;0;3
2005;0;0;1;0;0;0;1
2006;3;3;2;0;0;1;9
2008;2;0;2;0;0;0;4
2009;0;2;0;0;0;0;2
2010;0;1;0;0;5;0;6
2011;0;0;0;0;1;0;1
2012;0;0;0;0;2;1;3
2013;0;0;0;0;0;1;1
2014;2;3;2;0;0;0;7
2015;1;2;2;0;0;1;6
2016;2;0;1;0;0;1;5
2018;0;0;0;1;4;4;9
2019;0;0;0;0;2;1;3
2020;0;0;0;0;4;0;4
2021;0;0;0;0;1;0;1
2022;9;1;0;0;1;5;18
2023;6;1;0;0;0;0;7
2025;2;0;0;0;0;0;2
2026;0;0;0;0;8;0;10
