Nombre,Cámara /Senado,Año en el que asume,Partido,Signo Político,Profesión
Inés Enríquez,Cámara,1951,PR,Centro - Izquierda,Abogada
Lía Lafaye,Cámara,1953,PPF,Izquierda,Profesora
María Correa,Cámara,1957,PL,Derecha,Escritora
Ana Eugenia Ugalde,Cámara,1957,PR,Centro - Izquierda,Abogada
Inés Enríquez,Cámara,1957,PR,Centro - Izquierda,Abogada
Graciela Lacoste,Cámara,1961,PDC,Centro,Química
Ana Eugenia Ugalde,Cámara,1961,PR,Centro - Izquierda,Abogada
Julieta Campusano,Cámara,1961,PCCH,Extrema - Izquierda,Costurera
Ana María Rodríguez,Cámara,1961,PDC,Centro - Izquierda,Política
Inés Enríquez,Cámara,1961,PR,Centro - Izquierda,Abogada
Graciela Lacoste,Cámara,1965,PCCH,Extrema - Izquierda,Costurera
María Inés Aguilera,Cámara,1965,PDC,Centro,Profesora
Wilna Saavedra,Cámara,1965,PDC,Centro,Asistente Social
María Adela Maluenda,Cámara,1965,PCCH,Extrema - Izquierda,Actriz
Carmen Lazo,Cámara,1965,PS,Izquierda,Política
Gladys Marín,Cámara,1965,PCCH,Extrema - Izquierda,Profesora
Maria Silvia Correa,Cámara,1965,PDC,Centro,Política
Margarita Paluz,Cámara,1965,PDC,Centro,Dentista
Inés Enríquez,Cámara,1965,PR,Centro - Izquierda,Abogada
Laura Allende,Cámara,1965,PS,Izquierda,Política
Blanca Retamal,Cámara,1965,PDC,Centro,
Juana Dip,Cámara,1965,PDC,Centro,
Graciela Lacoste,Cámara,1969,PDC,Centro,
Pabla Toledo,Cámara,1969,PDC,Centro,
Mireya Baltra,Cámara,1969,PCCH,Extrema - Izquierda,Sociologa
Wilna Saavedra,Cámara,1969,PDC,Centro,Asistente Social
Silvia Alessandri,Cámara,1969,PN,Derecha,Política
Carmen Lazo,Cámara,1969,PS,Izquierda,Política
Laura Allende,Cámara,1969,PS,Izquierda,Política
Gladys Marín,Cámara,1969,PCCH,Extrema - Izquierda,Profesora
Blanca Retamal,Cámara,1969,PDC,Centro,Profesora
Vilma Rojas,Cámara,1973,PCCH,Extrema - Izquierda,Política
Silvia Araya,Cámara,1973,API,Izquierda,Folklorista
Amanda Altamirano,Cámara,1973,PCCH,Extrema - Izquierda,Modista
Gladys Marín,Cámara,1973,PCCH,Extrema - Izquierda,Profesora
Wilna Saavedra,Cámara,1973,PDC,Centro,Asistente Social
Silvia Pinto,Cámara,1973,PN,Derecha,Periodista
Fidelma Allende,Cámara,1973,PS,Izquierda,Profesora
Carmen Lazo,Cámara,1973,PS,Izquierda,Política
Laura Allende,Cámara,1973,PS,Izquierda,Política
Eliana Arínabar,Cámara,1973,PCCH,Extrema - Izquierda,Modista
Blanca Retamal,Cámara,1973,PDC,Centro,profesora
Mireya Baltra,Cámara,1973,PCCH,Extrema - Izquierda,Sociologa
Juana Dip,Cámara,1973,PDC,Centro,Política
Silvia Costa,Cámara,1973,PCCH,Extrema - Izquierda,profesora
Adriana Muñoz,Cámara,1989,PPD,Centro - Izquierda,Sociologa
María Maluenda,Cámara,1989,PPD,Centro - Izquierda,Actriz
Evelyn Matthei,Cámara,1989,RN,Derecha,Economista
Eliana Caraball,Cámara,1989,PDC,Centro,Arquitecta
María Angélica Cristi,Cámara,1989,RN,Derechs,Política
Laura Rodríguez,Cámara,1989,PH,Izquierda,Política
Marina Prochelle,Cámara,1989,RN,Derecha,Profesora
Fany Pollarolo,Cámara,1993,PDI,Izquierda,Médico
Isabel Allende,Cámara,1993,PS,Izquierda,Sociologa
Evelyn Matthei,Cámara,1993,RN,Derecha,Economista
María Antonieta Saa,Cámara,1993,PPD,Centro - Izquierda,Profesora
María Angelica Cristi,Cámara,1993,RN,Derecha,Política
Mariana Aylwin,Cámara,1993,PDC,Centro,Profesora
Romy Rebolledo,Cámara,1993,PPD,Centro - Izquierda,Ingeniera
Martita Worner,Cámara,1993,PPD,Centro - Izquierda,Contadora
Marina Prochelle,Cámara,1993,RN,Derecha,Profesora
Rosa González,Cámara,1997,UDI,Derecha,Periodista
Antonella Sciariaffia,Cámara,1997,PDC,Centro,Abogada
Fany Pollarolo,Cámara,1997,PS,Izquierda,Médico
Adriana Muñoz,Cámara,1997,PPD,Centro - Izquierda,Sociologa
Laura Soto,Cámara,1997,PPD,Centro - Izquierda,Política
María Antonieta Saa,Cámara,1997,PPD,Centro - Izquierda,Profesora
Pía Guzman,Cámara,1997,RN,Derecha,Abogada
María Angelica Cristi,Cámara,1997,RN,Derecha,Política
Lily Pérez,Cámara,1997,RN,Derecha,Publicista
Eliana Caraball,Cámara,1997,PDC,Centro,Arquitecta
Isabel Allende,Cámara,1997,PS,Izquierda,Sociologa
María Victoria Ovalle,Cámara,1997,UCCP,Derecha,Empresaria
Marina Prochelle,Cámara,1997,RN,Derecha,Profesora
Rosa González,Cámara,2001,UDI,Derecha,Periodista
Adriana Muñoza,Cámara,2001,PPD,Centro - Izquierda,Socióloga
María Eugenia Mella,Cámara,2001,PDC,Centro,Enfermera
Laura Soto,Cámara,2001,PPD,Centro - Izquierda,Política
Carmen Ibañez,Cámara,2001,RN,Derecha,Conductora TV
María Antonieta Saa,Cámara,2001,PPD,Centro - Izquierda,Profedora
Marcela Cubillos,Cámara,2001,UDI,Derecha,Abogada
Carolina Tohá,Cámara,2001,PPD,Centro - Izquierda,Polítologa
Pía Guzman,Cámara,2001,RN,Derecha,Abogada
María Angélica Cristi,Cámara,2001,RN,Derecha,Política
Ximena Vidal,Cámara,2001,PPD,Centro - Izquierda,Actriz
Lily Pérez,Cámara,2001,RN,Derecha,Publicista
Eliana Carball,Cámara,2001,PDC,Centro,Arquitecta
Isabel Allende,Cámara,2001,PS,Izquierda,Sociologa
Alejandra Sepulveda,Cámara,2001,PDC,Centro,Veterinaria
Isabel Allende,Cámara,2005,PS,Izquierda,Socióloga
Marcela Cubillos,Cámara,2005,UDI,Derecha,Abogada
Carolina Goic,Cámara,2005,PDC,Centro,Trabajadora Social
Amelia Herrera,Cámara,2005,RN,Derecha,Abogada
Marta Isasi,Cámara,2005,PAR,Centro,Ingeriera
Adriana Muñoz,Cámara,2005,PPD,Centro - Izquierda,Socióloga
Claudia Nogueira,Cámara,2005,UDI,Derecha,Abogada
Clemira Pacheco,Cámara,2005,PS,Izquierda,Profesora
Denise Pascal,Cámara,2005,PS,Izquierda,Polítologa
Lily Pérez,Cámara,2005,RN,Derecha,Publicista
Karla Rubilar,Cámara,2005,RN,Derecha,Médico
María Antonieta Saa,Cámara,2005,PPD,Centro - Izquierda,Profesora
Alejandra Sepulveda,Cámara,2005,PPD,Centro - Izquierda,Veterinaria
Laura Soto,Cámara,2005,PPD,Centro - Izquierda,Política
