Nombre,Cargo,Cámara / Senado,Año,Partido,Signo Político,Profesión,Edad al asumir,Estado Civil,Maternidad
Eliana Caraball,Vicepresidenta,Cámara,1993,PDC,Centro-Izquierda,Arquitecta,56,Casada,Sí
María Antonieta Saa,Vicepresidenta,Cámara,1997,PPD,Centro-Izquierda,Profesora,54,Soltera,No
Marina Prochelle,Vicepresidenta,RN,1997,PDC,Derecha,Profesora,56,Casada,Sí
Adriana Muñoz,Vicepresidenta,Cámara,1998,PPD,Centro-Izquierda,Socióloga,50,Casada,Sí
Adriana Muñoz,Presidenta,Cámara,2002,PPD,Centro-Izquierda,Socióloga,54,Casada,Sí
Isabel Allende,Presidenta,Cámara,2003,PS,Izquierda,Socióloga,58,Casada,Sí
Alejandra Sepúlveda,Presidenta,Cámara,2010,PRI,Centro,Médica Veterinaria,44,Casada,Sí
Isabel Allende,Presidenta,Senado,2014,PS,Izquierda,Socióloga,69,Casada,Sí
Adriana Muñoz,Vicepresidenta,Senado,2015,PPD,Centro Izquierda,Socióloga,67,Casada,Sí
Denise Pascal ,Vicepresidenta,Cámara,2015,PS,Izquierda,Politóloga,75,Casada,Sí
Adriana Muñoz,Presidenta,Senado,2020,PPD,Centro-Izquierda,Socióloga,72,Casada,Sí
Maya Fernández,Presidenta,Cámara,2018,PS,Izquierda,Bióloga,47,Casada,Sí
Loreto Carvajal,Vicepresidenta,Cámara,2019,PPD,Centro-Izquierda,Egresada de Derecho,44,Soltera,Sí
Yasna Provoste,Presidenta,Senado,2021,PDC,Centro,Prof. Ed. Física,51,Casada,Sí
Ximena Rincón,Presidenta,Senado,2021,PDC,Centro,Abogada,52,Divorciada,Sí
Luz Ebensperger,Vicepresidenta,Senado,2022,UDI,Derecha,Abogada,58,Casada,Sí
Claudia Mix,Vicepresidenta,Cámara,2022,PCOM,Izquierda,Egresada de Trabajo Social,52,Soltera,Sí
Catalina Pérez,Vicepresidenta,Cámara,2022,RD,Izquierda,Abogada,32,Soltera,No
Carmen Hertz,Vicepresidenta,Cámara,2023,PC,Extrema-Izquierda,Abogada,77,Casada,Sí
Daniella Cicardini,Vicepresidenta,Cámara,2023,PS,Izquierda,Bióloga Marina,35,Soletra,No
Karol Cariola,Presidenta,Cámara,2024,PC,Izquierda,Matrona,36,Soltera,Sí
Paulina Núñez,Presidenta,Senado,2026,RN,Derecha,Abogada,43,Casada,Sí
Ximena Ossandón,Vicepresidenta,Cámara,2026,RN,Derecha,Profesora,62,Casada,Sí
