Nombre,Cámara /Senado,Año en el que asume,Partido,Signo Político,Profesión
Inés Enríquez,Cámara,1951,PR,Centro - Izquierda,Abogada
Lía Lafaye,Cámara,1953,PPF,Izquierda,Profesora
María De la Cruz,Senado,1953,PFC,Centro,Escritora
María Correa,Cámara,1957,PL,Derecha,Escritora
Ana Eugenia Ugalde,Cámara,1957,PR,Centro-Izquierda,Abogada
Inés Enríquez,Cámara,1957,PR,Centro - Izquierda,Abogada
Graciela Lacoste,Cámara,1961,PDC,Centro,Química
Ana Eugenia Ugalde,Cámara,1961,PR,Centro-Izquierda,Abogada
Julieta Campusano,Cámara,1961,PCCH,Extrema- izquierda,Costurera
Ana María Rodríguez,Cámara,1961,PDC,Centro-Izquierda,Política
Inés Enríquez,Cámara,1961,PR,Centro - Izquierda,Abogada
Graciela Lacoste,Cámara,1965,PCCH,Extrema-Izquierda,Costurera
María Inés Aguilera,Cámara,1965,PDC,Centro,Profesora
Wilna Saavedra,Cámara,1965,PDC,Centro,Asistente Social
María Adela Maluenda,Cámara,1965,PCCH,Extrema Izq,Actriz
Carmen Lazo,Cámara,1965,PS,Izquierda,Política
Gladys Marín,Cámara,1965,PCCH,Extrema Izq,Profesora
Laura Allende,Cámara,1965,PS,Izquierda,Política
Maria Silvia Correa,Cámara,1965,PDC,Centro,Política
Margarita Paluz,Cámara,1965,PDC,Centro,Dentista
Inés Enríquez,Cámara,1965,PR,Centro-Izquierda,Abogada
Mireya Baltra,Cámara,1969,PCCH,Extrema Izq,Sociologa
Wilna Saavedra,Cámara,1969,PDC,Centro,Asistente Social
Silvia Alessandri,Cámara,1969,PN,Derecha,Política
Carmen Lazo,Cámara,1969,PS,Izquierda,Política
Laura Allende,Cámara,1969,PS,Izquierda,Política
Gladys Marín,Cámara,1969,PCCH,Extrema Izq,Profesora
Blanca Retamal,Cámara,1969,PDC,Centro,Profesora
Vilma Rojas,Cámara,1973,PCCH,Extrema Izq,Política
Silvia Araya,Cámara,1973,API,Izquierda,Folklorista
Amanda Altamirano,Cámara,1973,PCCH,Extrema Izq,Modista
Gladys Marín,Cámara,1973,PCCH,Extrema Izq,Profesora
Wilna Saavedra,Cámara,1973,PDC,Centro,Asistente Social
Silvia Pinto,Cámara,1973,PN,Derecha,Periodista
Fidelma Allende,Cámara,1973,PS,Izquierda,Profesora
Carmen Lazo,Cámara,1973,PS,Izquierda,Política
Laura Allende,Cámara,1973,PS,Izquierda,Política
Eliana Arínabar,Cámara,1973,PCCH,Extrema Izq,Modista
Blanca Retamal,Cámara,1973,PDC,Centro,profesora
Mireya Baltra,Cámara,1973,PCCH,Extrema Izq,Sociologa 
Juana Dip,Cámara,1973,PDC,Centro,Política
Silvia Costa,Cámara,1973,PCCH,Extrema Izq,profesora
Julieta Campusano,Senado,1973,PCCH,Extrema Izq,Costurera
María Elena Carrera,Senado,1973,PS,Izquierda,Médico
Adriana Muñoz,Cámara,1990,PPD,Centro-Izq,Sociologa
María Maluenda,Cámara,1990,PPD,Centro-Izq,Actriz
Evelyn Matthei,Cámara,1990,RN,Derecha,Economista
Eliana Caraball,Cámara,1990,DC,Centro,Arquitecta
María Angélica Cristi,Cámara,1990,RN,Derechs,Política
Laura Rodríguez,Cámara,1990,PH,Izquierda,Política
Marina Prochelle,Cámara,1990,RN,Derecha,Profesora
Carmen Frei,Senado,1990,DC,Centro,Abogada
Laura Soto,Senado,1990,PPD,Centro-Izq,Política
Fany Pollarolo,Cámara,1994,PDI,Izquierda,Médico
Isabel Allende,Cámara,1994,PS,Izquierda,Sociologa
Evelyn Matthei,Cámara,1994,RN,Derecha,Economista
María Antonieta Saa,Cámara,1994,PPD,Centro-Izq,Profesora
María Angelica Cristi,Cámara,1994,RN,Derecha,Política
Mariana Aylwin ,Cámara,1994,PDC,Centro,Profesora
Romy Rebolledo,Cámara,1994,PPD,Centro-Izq,Ingeniera
Martita Worner,Cámara,1994,PPD,Centro-Izq,Contadora
Marina Prochelle,Cámara,1994,RN,Derecha,Profesora
Carmen Frei,Senado,1994,PDC,Centro,Abogada
Maria Elena Carrera,Senado,1994,PS,Izquierda,Médico
Rosa González,Cámara,1998,UDI,Derecha,Periodista
Antonella Sciariaffia,Cámara,1998,DC,Centro,Abogada
Fany Pollarolo,Cámara,1998,PS,Izquierda,Médico
Adriana Muñoz,Cámara,1998,PPD,Centro-Izq,Sociologa
Laura Soto,Cámara,1998,PPD,Centro-Izq,Política
María Antonieta Saa,Cámara,1998,PPD,Centro-Izq,Profesora
Pía Guzman,Cámara,1998,RN,Derecha,Abogada
María Angelica Cristi,Cámara,1998,RN,Derecha,Política
Lily Pérez,Cámara,1998,RN,Derecha,Publicista
Eliana Caraball,Cámara,1998,PDC,Centro,Arquitecta
Isabel Allende,Cámara,1998,PS,Izquierda,Sociologa
María Victoria Ovalle,Cámara,1998,UCCP,Derecha,Empresaria
Marina Prochelle,Cámara,1998,RN,Derecha,Profesora
Carmen Frei,Senado,1998,PDC,Centro,Abogada
Evelyn Matthei,Senado,1998,UDI,Derecha,Economista
Rosa González,Cámara,2002,UDI,Derecha,Periodista
Adriana Muñoza,Cámara,2002,PPD,Centro-Izq,Socióloga
María Eugenia Mella,Cámara,2002,PDC,Centro,Enfermera
Laura Soto,Cámara,2002,PPD,Centro-izq,Política
Carmen Ibañez,Cámara,2002,RN,Derecha,Conductora TV
María Antonieta Saa,Cámara,2002,PPD,Centro-Izq,Profedora
Marcela Cubillos,Cámara,2002,UDI,Derecha,Abogada
Carolina Tohá,Cámara,2002,PPD,Centro-Izq,Polítologa
Pía Guzman,Cámara,2002,RN,Derecha,Abogada
María Angélica Cristi,Cámara,2002,RN,Derecha,Política
Ximena Vidal,Cámara,2002,PPD,Centro Izq,Actriz
Lily Pérez,Cámara,2002,RN,Derecha,Publicista
Eliana Carball,Cámara,2002,PDC,Centro,Arquitecta
Isabel Allende,Cámara,2002,PS,Izquierda,Sociologa
Alejandra Sepulveda,Cámara,2002,PDC,Centro,Veterinaria
Carmen Frei,Senado,2002,PDC,Centro,Abogada
Evelyn Matthei,Senado,2002,UDI,Derecha,Economista
Isabel Allende,Cámara,2006,PS,Izquierda,Socióloga
María Angélica Cristi,Cámara,2006,UDI,Derecha,Política
Marcela Cubillos,Cámara,2006,UDI,Derecha,Abogada
Carolina Goic,Cámara,2006,PDC,Centro,Trabajadora Social
Amelia Herrera,Cámara,2006,RN,Derecha,Abogada
Marta Isasi,Cámara,2006,PAR,Centro,Ingeriera
Adriana Muñoz,Cámara,2006,PPD,Centro-Izquierda,Socióloga 
Claudia Nogueira,Cámara,2006,UDI,Derecha,Abogada
Clemira Pacheco,Cámara,2006,PS,Izquierda,Profesora
