,Nombre ,Partido Político,Signo Ideológico,Periodo,Profesión,Hijos,Estado civil
1,Laura Fiora Rodríguez Riccomini,Partido Humanista,Izquierda,1989-1992,Ingeniera Civil Industrial,1,Casada
2,Gladys del Carmen Marín Millie,Partido Comunista ,Izquierda,2002-2005,Profesora primaria,2,Viuda
3,María Soledad Alvear Valenzuela,Partido Demócrata Cristiano,Centro,2006-2008,Abogada,3,Casada
4,Marilén Cabrera Olmos,Partido Humanista,Izquierda,2007-2009,Profesora de Matemáticas y Computación,0,Casada
5,Adriana Muñoz D'Albora,Partido por la Democracia,Centroizquierda,2009-2010,Socióloga,1,Casada
6,Carolina Tohá Morales,Partido por la Democracia,Centroizquierda,2010-2012,Dra. en Ciencias Políticas,2,Casada
7,Roxana del Pilar Miranda Meneses,Partido Igualdad,Izquierda,2013-2015,"Activista, modista y costurera.",4,Casada
8,María Francisca Correa Escobar,Evolución Política,Centroderecha,2014-2015,Licenciada en Arte y Estética ,4,Casada
9,María Isabel Allende Bussi,Partido Socialista,Izquierda,2015-2017,Socióloga,2,Divorciada
10,Carolina Goic Boroevic,Partido Demócrata Cristiano,Centro,2017-2019,Asistente Social,2,Casada
11,Jacqueline Van Rysselberghe Herrera,Unión Demócrata Independiente,Derecha,2017-2020,Médico Psiquiatra,6,Casada
12,Myriam Selva Verdugo Godoy,Partido Demócrata Cristiano,Centro,2017-2018,Periodista,2,Viuda
13,Catalina Valeska Valenzuela Maureira,Partido Humanista,Izquierda,2019-2022,Bombera,1,Soltera
14,Carmen Frei Ruiz-Tagle,Partido Demócrata Cristiano,Centro,2021-2022,Educadora de Párvulos,3,Viuda
15,Natalia Alejandra Piergentili Domenech,Partido por la Democracia,Centroizquierda,2021-2023,Administradora Pública,1,Soltera
16,Natalia Bernardita Ibáñez Donoso,Partido Humanista,Izquierda,2022-2022,Técnico en Admin. de Empresas,0,Soltera
17,Luz Poblete Coddou,Evolución Política,Centroderecha,2022-2022,Psicóloga,2,Casada
18,Paulina Vodanovic Rojas,Partido Socialista,Izquierda,2022-Act,Abogada,2,Casada
19,Flavia Oscarina Torrealba Díaz,Partido Federación Regionalista Verde Social,Centroizquierda,2022-Act,Cientista Política,3,Casada
20,Ruth Ester Hurtado Olave,Partido Republicano,Ultraderecha,2022-2023,Bachiller en Trabajo Social,2,Casada
21,Gloria de los Ángeles Hutt Hesse,Evolución Política,Centroderecha,2022-2025,Ingeniera Civil,3,Viuda
22,Ximena Rincón González,Partido Demócratas ,Centro,2022-2026,Abogada,3,Divorciada
23,Sara Concha Smith,Partido Social Cristiano,Derecha,2023-Act,Fonoaudióloga,0,Soltera
24,Constanza Paz Martínez Gil,Frente Amplio,Izquierda,2024-Act,Abogada,0,Soltera
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
