Gobierno,Año,Nombre,Sexo,MInisterio,Partido,Signo Político,Profesión,Edad al asumir,Estado civil ,Maternidad
Cabriel Gonzalez Videla,1952,Adriana Olguín de Baltra,F,Justicia ,Radical,Centro-Izquierda,Abogada,41,Casada,Si
Carlos Ibañez del Campo,1953,Maria Teresa del Canto,F,Educación,Mujeres de Chile,,Profesora,55,Soltera,No
Salvador Allende,1972,Mireya Baltra,F,Trabajo,Radical,Centro-Izquierda,Periodista,40,Soltera,No
Augusto Pinochet,1977,Monica Madariaga,F,Justicia ,UDI,Derecha,Abogada,35,Soltera,No
Augusto Pinochet,1983,Monica Madariaga,F,Educación,UDI,Derecha,Abogada,41,Soltera,No
Augusto Pinochet,1989,Maria Teresa Infante Barros,F,Trabajo,Inependiente,,Economista,38,Casada,Si
Eduardo Frei Ruiz-Tagle,1994,Soledad Alvear,F,Justicia ,DC,Centro-Izquierda,Abogada,44,Casada,No
Eduardo Frei Ruiz-Tagle,1994,Adriana Delpiano,F,Bienes Nacionales,MAPU,,Trabajadora social,47,Casada,Si
Ricardo Lagos,2000,Michelle Bachelet,F,Salud,PS,Izquierda,Medico,49,Casada,Si
Ricardo Lagos,2000,Marian Aylwin,F,Educacion ,DC,Centro-Izquierda,Abogada,55,Casada,No
Ricardo Lagos,2000,Alejandra Krauss,F,Desarrollo Social y Familia,DC,Centro-Izquierda,Abogada,44,Casada,Si
Ricardo Lagos,2000,Soledad Alvear,F,Asuntos Exteriores,DC,Centro-Izquierda,Pedagogia en Historia,51,Casada,No
Ricardo Lagos,2002,Michelle Bachelet,F,Defensa Nacional,PS,Izquierda,Medico,51,Casada,Si
Ricardo Lagos,2002,Cecilia Pérez,F,Desarrollo Social y Familia,X,X,Trabajadora social,36,X,X
Ricardo Lagos,2004,Sonia Tschrone,F,Vivienda y Urbanismo,PS,Izquierda,Arquitecta,50,X,X
Ricardo Lagos,2004,Sonia Tschrone,F,Bienes Nacionales,PS,Izquierda,Arquitecta,50,X,X
Ricardo Lagos,2004,Yasna Provoste,F,Desarrollo Social,DC,Centro-Izquierda,Profesora,35,X,X
Ricardo Lagos,2005,Marigen Hornkohl,F,Educacion ,DC,Centro-Izquierda,Asistente Social,52,x,x
Michelle Bachelet,2006,Vivianne Blanlot,F,Defensa,PPD,Izquierda,Economista,50,X,Si
Michelle Bachelet,2006,Patricia Poblete,F,Vivienda y Urbanismo,DC,Centro-Izquierda,Economista,60,Si,Si
Michelle Bachelet,2006,Clarisa Hardy,F,Desarrollo Social y Familia,PS,Izquierda,Psicologa,61,X,Si
Michelle Bachelet,2006,Karen Poniachik,F,Minería,Inependiente,,Periodista,41,x,x
Michelle Bachelet,2006,María Soledad Barría,F,Salud,PS,Izquierda,Física,53,Si,Si
Michelle Bachelet,2006,Paulina Veloso,F,Secretaria General de la Presidencia,PS,Izquierda,Abogada,49,x,Si
Michelle Bachelet,2006,Romy Schmidt,F,Bienes nacionales,PPD,Izquierda,Abogada,41,X,X
Michelle Bachelet,2006,Ingrid Antonijevic,F,Economia,PPD,Izquierda,Economista,54,Soltera,Si
Michelle Bachelet,2006,Yasna Provoste,F,Educacion ,DC,Centro-Izquierda,Profesora,37,Casada,Si
Michelle Bachelet,2008,Paula Quintana,F,Desarrollo Social y Familia,PS,Izquierda,Sociologa,52,X,X
Michelle Bachelet,2008,Marigen Hornkohl,F,Agricultura,DC,Centro-Izquierda,Asistente Social,55,x,x
Michelle Bachelet,2008,Mónica Jiménez,F,Educacion ,DC,Centro-Izquierda,,68,Casada,Si
Michelle Bachelet,2008,Claudia Serrano,F,Trabajo y Bienestar Social,PS,Izquierda,Sociologa,51,Casada,Si
Michelle Bachelet,2009,Carolina Tohá,F,Secretaria General del Gobierno,PPD,Izquierda,Cientista Politico,44,Casada,Si
Michelle Bachelet,2009,Pilar Armanet,F,Secretaria General del Gobierno,PPD,Izquierda,Abogada,59,Casada,Si
Michelle Bachelet,2010,Jacqueline Weinstein,F,Bienes nacionales,PPD,Izquierda,Economista,62,Casada,Si
Sebastian Piñera,2010,Camila Merino,F,Trabajo y Bienestar Social,Evopoli,Derecha,Ingeniero Comercial,43,Casada,Si
Sebastian Piñera,2010,Ena von Baer,F,Secretaria General de gobierno,UDI,Derecha,Periodista,35,Casada,SI
Sebastian Piñera,2010,Magdalena Matte,F,Vivienda y Urbanismo,UDI,Derecha,Ingeniera Civil,60,Casada,Si
Sebastian Piñera,2010,Catalina Parot,F,Bienes nacionales ,Evopoli,Derecha,Abogada,54,Casada ,Si
