Año,Partido,Signo Político
1952,Radical,Centro-Izquierda
1953,Mujeres de Chile,
1972,Radical,Centro-Izquierda
1977,UDI,Derecha
1983,UDI,Derecha
1989,Independiente,
1994,DC,Centro-Izquierda
1994,MAPU,
2000,PS,Izquierda
2000,DC,Centro-Izquierda
2000,DC,Centro-Izquierda
2000,DC,Centro-Izquierda
2002,PS,Izquierda
2002,RN,Derecha
2004,PS,Izquierda
2004,PS,Izquierda
2004,DC,Centro-Izquierda
2005,DC,Centro-Izquierda
2006,PPD,Izquierda
2006,DC,Centro-Izquierda
2006,PS,Izquierda
2006,Independiente,
2006,PS,Izquierda
2006,PS,Izquierda
2006,PPD,Izquierda
2006,PPD,Izquierda
2006,DC,Centro-Izquierda
2008,PS,Izquierda
2008,DC,Centro-Izquierda
2008,DC,Centro-Izquierda
2008,PS,Izquierda
2009,PPD,Izquierda
2009,PPD,Izquierda
2010,PPD,Izquierda
2010,Evópoli,Derecha
2010,UDI,Derecha
2010,UDI,Derecha
2010,Evúpoli,Derecha
2010,UDI,Derecha
2011,UDI,Derecha
2012,UDI,Derecha
2012,RN,Derecha
2012,Inependiente,
2013,Inependiente,
2014,PPD,Izquierda 
2014,PPD,Izquierda 
2014,DC,Centro-Izquierda
2014,PS,Izquierda 
2014,DC,Centro-Izquierda
2014,PR,Izquierda
2014,PS,Izquierda
2015,Independiente,
2015,DC,Centro-Izquierda
2015,DC,Centro-Izquierda
2015,PS,Izquierda
2015,PPD,Izquierda
2016,PC,Izquierda
2016,PS,Izquierda
2016,DC,Centro-Izquierda
2016,PS,Izquierda
2016,Independiente,
2018,UDI,Derecha
2018,Evópoli,Derecha
2018,UDI,Derecha
2018,Independiente,
2018,Independiente,
2018,RN,Derecha
2018,Independiente,
2018,Independiente,
2018,Evópoli,Centro-Derecha
2019,RN,Derecha
2019,Independiente,
2019,RN,Derecha
2020,RN,Derecha
2020,UDI,Derecha
2020,UDI,Derecha
2020,RN,Derecha
2021,Evópoli,Derecha
2022,Independiente,
2022,Independiente,
2022,CS,Izquierda
2022,PC,Izquierda
2022,PS,Izquierda
2022,Independiente,
2022,CS,Izquierda
2022,Independiente,
2022,PC,Izquierda
2022,Comunes,Izquierda
2022,CS,Izquierda
2022,FA,Izquierda
2022,PPD,Izquierda
2022,PS,Izquierda
2022,Independiente,Izquierda
2023,RD,Izquierda
2023,RD,Izquierda
2023,RD,Izquierda
2023,PR,Izquierda
2023,Independiente,Izquierda
2023,FA,Izquierda
2023,PS,Izquierda
2025,Independiente,Izquierda
2015,PPD,Izquierda
2025,Independiente,Izquierda
2026,PR,Derecha
2026,Independiente,Derecha
2026,Independiente,Derecha
2026,PSC,Derecha
2026,Independiente,Derecha
2026,Democratas,Derecha
2026,Evopoli,Derecha
2026,Independiente,Derecha
2026,PR,Derecha
